Type_of_client;Age;Gender;Favorite_batter;Favorite_filling;Favorite_frosting;More_toppings;Topping_examples;Configuration;Frequency_of_buying;Occasion;Interest_in_seasonality;Seasonal_option;Product_type;Willingness_to_pay
Kid;11.0;Feminine;Chocolate;Chocolate ganache;Buttercream;Yes;Fruits;Cupcake;Daily;Birthday;Yes;Valentine's Day;Cupcake;4.80 €
Kid;10.0;Feminine;Red Velvet;Chocolate ganache;Whipped cream;Yes;Fruits;Slice;Monthly;Celebration;Yes;Valentine's Day;Slice;3.60 €
Kid;13.0;Feminine;Chocolate;Chocolate ganache;Buttercream;Yes;Nuts;Slice;Monthly;Celebration;No;None;Slice;5.40 €
Kid;16.0;Feminine;Red Velvet;Strawberry jam;Buttercream;Yes;Sprinkles;Slice;Sporadic;Birthday;Yes;Valentine's Day;Slice;1.50 €
Adult;44.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Slice;Monthly;Gathering;Yes;;Slice;5.00 €
;50.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Slice;Weekly;Work event;No;None;Slice;3.90 €
Adult;45.0;Feminine;Red Velvet;Cream cheese;Ganache;No;None;Whole cake;Monthly;Wedding;No;None;Whole cake;39.40 €
Adult;25.0;Feminine;Lemon;Dulce de leche;Ganache;No;None;Slice;Daily;Work event;Yes;Valentine's Day;Slice;2.20 €
Adult;45.0;Feminine;Carrot;Dulce de leche;Ganache;No;None;Wedding cake;Sporadic;Wedding;No;None;Wedding cake;63.10 €
Kid;13.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Edible flowers;Slice;Monthly;Snack;No;None;Slice;2.10 €
Kid;8.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Fruits;Slice;Daily;Birthday;No;None;Slice;3.00 €
Adult;48.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Chocolate chips;Whole cake;Daily;Wedding;Yes;Valentine's Day;Whole cake;35.40 €
Kid;6.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Chocolate chips;Slice;Weekly;Snack;No;None;Slice;1.20 €
Kid;14.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Slice;Weekly;Celebration;Yes;Easter;Slice;1.40 €
Kid;7.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Daily;Celebration;No;None;Cupcake;2.60 €
Kid;6.0;Feminine;Red Velvet;Strawberry jam;Whipped cream;No;None;Cupcake;Weekly;Snack;Yes;Fall;Cupcake;4.80 €
Adult;51.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Gathering;No;None;Whole cake;21.90 €
Adult;47.0;Feminine;Red Velvet;Lemon curd;Cream cheese frosting;No;None;Whole cake;Monthly;Work event;Yes;Easter;Whole cake;20.40 €
Adult;38.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Slice;Daily;Gathering;No;None;Slice;2.00 €
Adult;43.0;Feminine;Red Velvet;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Monthly;Work event;No;None;Whole cake;12.70 €
Adult;55.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Monthly;Celebration;Yes;Halloween;Whole cake;36.90 €
Adult;46.0;Masculine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Slice;Monthly;Work event;No;None;Slice;4.70 €
Adult;50.0;Feminine;Carrot;Lemon curd;Cream cheese frosting;Yes;Chocolate chips;Wedding cake;Daily;Gathering;No;None;Wedding cake;95.30 €
Adult;25.0;Masculine;Red Velvet;Cream cheese;Ganache;No;None;Slice;Monthly;Work event;Yes;Easter;Slice;3.60 €
Adult;54.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;Yes;Sprinkles;Slice;Weekly;Celebration;Yes;Valentine's Day;Slice;5.50 €
Kid;14.0;Feminine;Chocolate;Strawberry jam;Whipped cream;No;None;Slice;Weekly;Celebration;No;None;Slice;1.60 €
Kid;13.0;Feminine;Red Velvet;Strawberry jam;Chocolate glaze;No;None;Cupcake;Weekly;Birthday;No;None;Cupcake;5.30 €
Adult;30.0;Masculine;Carrot;Cream cheese;;Yes;Sprinkles;Slice;Weekly;Celebration;Yes;Halloween;Slice;5.40 €
Adult;;Feminine;Lemonn;Dulce de leche;Ganache;No;None;Wedding cake;Daily;Wedding;No;None;Wedding cake;44.80 €
Kid;7.0;Masculine;Red Velvet;Chocolate ganache;Whipped cream;Yes;Chocolate chips;Slice;Daily;Birthday;No;None;Slice;4.80 €
Adult;33.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Sprinkles;Slice;Daily;Gathering;Yes;Halloween;Slice;2.10 €
Adult;39.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;Yes;Edible flowers;Wedding cake;Sporadic;Work event;No;None;Wedding cake;97.70 €
Adult;29.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Daily;Gathering;No;None;Wedding cake;90.20 €
Adult;49.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Wedding cake;Sporadic;Wedding;Yes;Easter;Wedding cake;51.20 €
Adult;26.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Slice;Daily;Celebration;No;None;Slice;5.90 €
Adult;44.0;Feminine;Red Velvet;Cream cheese;Ganache;Yes;Edible flowers;Slice;Sporadic;Gathering;No;None;Slice;2.20 €
Kid;14.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Slice;Weekly;Snack;No;None;Slice;2.30 €
Kid;14.0;Masculine;;Chocolate ganache;Whipped cream;Yes;Edible flowers;Cupcake;Weekly;Celebration;No;None;Cupcake;4.00 €
Kid;16.0;Feminine;Chocolate;Chocolate ganache;Whipped cream;No;None;Cupcake;Daily;Birthday;No;None;Cupcake;1.90 €
Adult;40.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Wedding;Yes;Christmas;Whole cake;€
Kid;4.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Nuts;Slice;Sporadic;Snack;No;None;Slice;2.30 €
Kid;9.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Slice;Monthly;Snack;Yes;Easter;Slice;3.50 €
Kid;15.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Sprinkles;Cupcake;Weekly;Celebration;Yes;Valentine's Day;Cupcake;2.30 €
;11.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Slice;Monthly;Birthday;Yes;Valentine's Day;Slice;3.60 €
Kid;10.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Slice;Daily;Snack;No;None;Slice;5.30 €
Adult;24.0;Masculine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Daily;Wedding;No;None;Wedding cake;56.80 €
Adult;23.0;Masculine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Weekly;Celebration;Yes;Halloween;Whole cake;29.30 €
Adult;27.0;Masculine;Carrot;Dulce de leche;Ganache;No;None;Wedding cake;Monthly;Wedding;No;None;Wedding cake;51.90 €
Adult;23.0;Masculine;Carrot;Lemon curd;Ganache;Yes;Sprinkles;Whole cake;Daily;Work event;No;None;Whole cake;35.60 €
Adult;32.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;Yes;Chocolate chips;Wedding cake;Weekly;Gathering;No;None;Wedding cake;78.70 €
Kid;4.0;Feminine;Chocolate;Strawberry jam;;No;None;Slice;Weekly;Celebration;No;None;Slice;5.50 €
Kid;17.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Nuts;Slice;Weekly;Birthday;Yes;Valentine's Day;Slice;1.60 €
Adult;50.0;Masculine;Carrot;Dulce de leche;Cream cheese frosting;Yes;Edible flowers;Whole cake;Sporadic;Gathering;No;None;Whole cake;30.50 €
Adult;36.0;Feminine;Lemon;Lemon curd;Cream cheese frosting;No;None;Slice;Daily;Gathering;No;None;Slice;3.40 €
Adult;28.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Fruits;Whole cake;Weekly;Wedding;No;None;Whole cake;24.50 €
Adult;30.0;Feminine;Carrot;Cream cheese;Ganache;No;None;Slice;Daily;Wedding;Yes;Christmas;Slice;4.00 €
Adult;34.0;Masculine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Daily;Gathering;Yes;Halloween;Wedding cake;98.70 €
Kid;11.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Slice;Weeekly;Birthday;No;None;Slice;3.90 €
Adult;27.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Slice;Daily;Work event;No;None;Slice;5.80 €
Adult;43.0;Masculine;Lemon;Cream cheese;Ganache;No;None;Whole cake;Weekly;Wedding;No;None;Whole cake;11.60 €
Adult;63.0;Feminine;Carrot;Dulce de leche;Ganache;Yes;Fruits;Whole cake;Weekly;Celebration;No;None;Whole cake;18.60 €
Adult;54.0;Feminine;Carrot;Cream cheese;Ganache;No;None;Wedding cake;Daily;Celebration;No;None;Wedding cake;92.50 €
Kid;14.0;Feminine;Chocolate;Strawberry jam;Buttercream;Yes;Sprinkles;Slice;Daily;Birthday;Yes;Valentine's Day;Slice;3.00 €
Adult;25.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Whole cake;Weekly;Wedding;No;None;Whole cake;28.30 €
Adult;49.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Sporadic;Celebration;No;None;Whole cake;26.00 €
Kid;7.0;Masculine;Red Velvet;Chocolate ganache;Buttercream;Yes;Edible flowers;Cupcake;Weekly;Birthday;No;None;Cupcake;4.70 €
Adult;51.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;No;None;Slice;Daily;Wedding;No;None;Slice;5.40 €
Adult;46.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Weekly;Gathering;No;None;Whole cake;31.20 €
Adult;38.0;Masculine;Carrot;Lemon curd;Cream cheese frosting;Yes;Fruits;Whole cake;Sporadic;Wedding;No;None;Whole cake;11.30 €
Adult;62.0;Feminine;Red Velvet;Lemon curd;Cream cheese frosting;No;None;Wedding cake;Daily;Gathering;Yes;Valentine's Day;Wedding cake;56.20 €
Kid;14.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Edible flowers;Cupcake;Weekly;Birthday;No;None;Cupcake;3.60 €
Kid;13.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Chocolate chips;Slice;Daily;Birthday;No;None;Slice;3.80 €
Adult;35.0;Feminine;Lemon;Lemon curd;Ganache;Yes;Edible flowers;Whole cake;Monthly;Celebration;No;None;Whole cake;23.20 €
Kid;16.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Cupcake;Daily;Celebration;Yes;Christmas;Cupcake;2.20 €
Adult;24.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Slice;Daily;Work event;No;;Slice;1.10 €
Kid;13.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Slice;Daily;Celebration;No;None;Slice;3.70 €
Kid;15.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Weekly;Snack;No;None;Cupcake;4.00 €
Adult;32.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Edible flowers;Slice;Weekly;Work event;No;None;Slice;1.20 €
Kid;15.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Weekly;Birthday;Yes;Halloween;Cupcake;4.80 €
Kid;14.0;Masculine;Chocolate;Chocolate ganache;Buttercream;No;None;Cupcake;Daily;Birthday;No;None;Cupcake;4.90 €
Adult;39.0;Feminine;Red Velvet;Cream cheese;Ganache;No;None;Whole cake;Sporadic;Wedding;Yes;Valentine's Day;Whole cake;10.00 €
Kid;16.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Chocolate chips;Cupcake;Daily;Snack;Yes;Halloween;Cupcake;3.10 €
Adult;36.0;Feminine;Red Velvet;Lemon curd;Ganache;No;None;Wedding cake;Weekly;Wedding;Yes;Easter;Wedding cake;56.70 €
Kid;6.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;No;None;Cupcake;Monthly;Birthday;Yes;Easter;Cupcake;2.50 €
Adult;25.0;Feminine;Red Velvet;Cream cheese;Ganache;No;None;Wedding cake;Monthly;Work event;No;None;Wedding cake;99.50 €
Adult;;Feminine;Carrot;Dulce de leche;Chocolate glaze;Yes;Chocolate chips;Slice;Weekly;Celebration;Yes;Halloween;Slice;2.70 €
Kid;13.0;Feminine;Chocolate;Strawberry jam;Buttercream;Yes;Sprinkles;Cupcake;Daily;Celebration;Yes;Fall;Cupcake;5.10 €
Adult;35.0;Masculine;Red Velvet;Cream cheese;Chocolate glaze;Yes;Edible flowers;Whole cake;Monthly;Celebration;No;None;Whole cake;22.20 €
Adult;59.0;Feminine;Red Velvet;Cream cheese;Chocolate glaze;No;;Whole cake;Weekly;Celebration;No;None;Whole cake;27.80 €
Kid;9.0;Feminine;Chocolate;Strawberry jam;Buttercream;No;None;Cupcake;Weekly;Snack;No;None;Cupcake;5.40 €
Adult;36.0;Feminine;Red Velvet;Lemon curd;Ganache;No;None;Slice;Weekly;Work event;No;None;Slice;5.00 €
Kid;13.0;Feminine;Chocolate;Strawberry jam;Buttercream;Yes;Sprinkles;Cupcake;Daily;Celebration;Yes;Fall;Cupcake;5.10 €
Adult;49.0;Masculine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Monthly;Gathering;No;None;Whole cake;29.00 €
Adult;59.0;Feminine;Carrot;Dulce de leche;Chocolate glaze;No;None;Wedding cake;Sporadic;Gathering;No;None;Wedding cake;68.90 €
Kid;13.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Nuts;Cupcake;Sporadic;Birthday;No;None;Cupcake;2.00 €
Kid;6.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Sprinkles;Cupcake;Daily;Celebration;No;None;Cupcake;4.90 €
Kid;6.0;Feminine;Red Velvet;Chocolate ganache;Buttercream;Yes;Edible flowers;Cupcake;Weekly;Snack;No;None;Cupcake;5.40 €
Adult;33.0;Feminine;Carrot;Cream cheese;Chocolate glaze;No;None;Slice;Monthly;Celebration;No;None;Slice;4.50 €
Adult;44.0;Feminine;Carrot;Dulce de leche;Chocolate glaze;No;None;Slice;Weekly;Gathering;No;None;Slice;1.60 €
Adult;22.0;Masculine;Red Velvet;Lemon curd;Cream cheese frosting;No;None;Slice;Weekly;Work event;No;None;Slice;5.50 €
Adult;34.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Work event;Yes;Christmas;Whole cake;18.80 €
Adult;34.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;Yes;Edible flowers;Wedding cake;Weekly;Wedding;No;None;Wedding cake;65.60 €
Adult;25.0;Feminine;Lemon;Dulce de leche;Chocolate glaze;No;None;Slice;Daily;Wedding;No;None;Slice;2.70 €
Kid;4.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Slice;Monthly;Birthday;No;None;Slice;4.20 €
Adult;40.0;Masculine;Red Velvet;Lemon curd;Cream cheese frosting;No;None;Whole cake;Monthly;Gathering;No;None;Whole cake;17.00 €
Adult;45.0;Masculine;Carrot;Cream cheese;Chocolate glaze;No;None;Slice;Daily;Work event;No;None;Slice;2.30 €
Kid;16.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;No;None;Cupcake;Daily;Celebration;No;None;Cupcake;3.60 €
Adult;51.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Slice;Weekly;Celebration;Yes;Valentine's Day;Slice;5.60 €
Adult;57.0;Masculine;Lemon;Lemon curd;Cream cheese frosting;No;None;Whole cake;Weekly;Celebration;No;None;Whole cake;28.90 €
Adult;34.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Slice;Weekly;Celebration;No;None;Slice;2.60 €
Kid;4.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Weekly;Snack;No;None;Cupcake;3.20 €
Adult;52.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Whole cake;Weekly;Gathering;No;None;Whole cake;20.90 €
Adult;37.0;Feminine;Carrot;Cream cheese;Ganache;No;None;Slice;Sporadic;Celebration;No;None;Slice;5.50 €
Kid;6.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Cupcake;Monthly;Celebration;No;None;Cupcake;5.00 €
Adult;30.0;Feminine;Lemon;Dulce de leche;Chocolate glaze;No;None;Wedding cake;Weekly;Work event;No;None;Wedding cake;47.40 €
Adult;28.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Montly;Work event;Yes;Christmas;Whole cake;39.40 €
Adult;64.0;Feminine;Red Velvet;Cream cheese;Ganache;No;None;Wedding cake;Sporadic;Celebration;No;None;Wedding cake;75.20 €
Adult;55.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Celebration;No;None;Whole cake;23.90 €
Adult;23.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;Yes;Nuts;Whole cake;Weekly;Celebration;Yes;Valentine's Day;Whole cake;
Adult;49.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Work event;Yes;Fall;Whole cake;15.70 €
Adult;57.0;Feminine;Lemon;Dulce de leche;Chocolate glaze;No;None;Slice;Daily;Gathering;No;None;Slice;5.00 €
Kid;14.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Sprinkles;Cupcake;Monthly;Celebration;No;None;Cupcake;3.20 €
Kid;7.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;No;None;Cupcake;Weekly;Celebration;Yes;Valentine's Day;Cupcake;4.20 €
Adult;21.0;Masculine;Red Velvet;Lemon curd;Ganache;No;None;Whole cake;Daily;Gathering;Yes;Halloween;Whole cake;20.80 €
Adult;20.0;Feminine;Lemon;Dulce de leche;Chocolate glaze;No;None;Wedding cake;Monthly;Work event;Yes;Christmas;Wedding cake;49.70 €
Adult;61.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Chocolate chips;Slice;Daily;Celebration;No;None;Slice;4.60 €
Adult;24.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Wedding cake;Monthly;Celebration;Yes;Easter;Wedding cake;77.60 €
Kid;8.0;Feminine;Red Velvet;Strawberry jam;Chocolate glaze;No;;Cupcake;Weekly;Celebration;No;None;Cupcake;3.60 €
Adult;50.0;Masculine;Red Velvet;Cream cheese;Chocolate glaze;Yes;Fruits;Whole cake;Daily;Wedding;No;None;Whole cake;37.30 €
Kid;13.0;Feminine;Red Velvet;Chocolate ganache;Buttercream;Yes;Fruits;Slice;Daily;Snack;No;None;Slice;3.40 €
Adult;55.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Slice;Monthly;Celebration;No;None;Slice;1.60 €
Adult;24.0;Masculine;Red Velvet;Lemon curd;Cream cheese frosting;No;None;Slice;Sporadic;Gathering;No;None;Slice;1.90 €
Adult;41.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Slice;Monthly;Work event;No;None;Slice;3.60 €
Adult;30.0;Feminine;Red Velvet;Cream cheese;Chocolate glaze;Yes;Fruits;Whole cake;Weekly;Work event;No;None;Whole cake;27.00 €
Kid;13.0;Feminine;Red Velvet;Chocolate ganache;Buttercream;Yes;Fruits;Slice;Daily;Snack;No;None;Slice;3.40 €
Adult;25.0;Masculine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Work event;No;None;Whole cake;38.40 €
Kid;8.0;Masculine;Chocolate;Chocolate ganache;Buttercream;Yes;Chocolate chips;Cupcake;Weekly;Celebration;No;None;Cupcake;3.70 €
Adult;23.0;Feminine;Lemon;Lemon curd;Chocolate glaze;Yes;Edible flowers;Slice;Monthly;Wedding;Yes;Easter;Slice;1.80 €
Adult;64.0;Feminine;Carrot;Cream cheese;Ganache;No;None;Slice;Daily;Wedding;No;None;Slice;4.70 €
Adult;32.0;Feminine;Carrot;Cream cheese;Ganache;No;None;Wedding cake;Weekly;Work event;No;None;Wedding cake;80.20 €
Adult;38.0;Masculine;;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Daily;Work event;No;None;Wedding cake;86.70 €
Adult;54.0;Masculine;Carrot;Cream cheese;Ganache;No;None;Wedding cake;Daily;Gathering;Yes;Fall;Wedding cake;64.10 €
Adult;36.0;Masculine;Lemon;Dulce de leche;Ganache;No;None;Slice;Weekly;Wedding;No;None;Slice;3.40 €
Adult;59.0;Feminine;Lemon;Dulce de leche;Ganache;Yes;Edible flowers;Wedding cake;Daily;Celebration;Yes;Fall;Wedding cake;73.10 €
Adult;36.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Slice;Weekly;Work event;No;None;Slice;4.90 €
Adult;38.0;Masculine;;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Daily;Work event;No;None;Wedding cake;86.70 €
Adult;36.0;Masculine;Carrot;Dulce de leche;Ganache;No;None;Slice;Daily;Gathering;No;None;Slice;1.20 €
Adult;38.0;Masculine;Lemon;Dulce de leche;Ganache;No;None;Slice;Monthly;Work event;No;None;Slice;2.70 €
Kid;5.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Slice;Monthly;Celebration;No;;Slice;5.80 €
Adult;24.0;Feminine;Carrot;Lemon curd;Chocolate glaze;No;None;Slice;Weekly;Gathering;No;None;Slice;5.00 €
Adult;44.0;Masculine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Wedding;No;None;Whole cake;38.00 €
Kid;12.0;Masculine;Chocolate;True;Whipped cream;Yes;Chocolate chips;Slice;Weekly;Birthday;No;None;Slice;5.50 €
Adult;38.0;Masculine;Lemon;Dulce de leche;Ganache;No;None;Slice;Monthly;Work event;No;None;Slice;2.70 €
Adult;61.0;Feminine;Carrot;Dulce de leche;Ganache;No;None;Slice;Weekly;Wedding;No;None;Slice;3.60 €
Kid;17.0;Feminine;Chocolate;Chocolate ganache;Buttercream;Yes;Sprinkles;Cupcake;Daily;Birthday;No;None;Cupcake;5.40 €
Adult;55.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Celebration;Yes;Halloween;Whole cake;12.00 €
Adult;61.0;Masculine;Lemon;Dulce de leche;Chocolate glaze;Yes;Sprinkles;Slice;Daily;Celebration;No;None;Slice;1.50 €
Kid;16.0;Feminine;Red Velvet;Chocolate ganache;Buttercream;Yes;Edible flowers;Slice;Daily;Celebration;No;None;Slice;5.00 €
Adult;35.0;Feminine;Carrot;Dulce de leche;Ganache;No;None;Whole cake;Daily;Gathering;No;None;Whole cake;18.50 €
Kid;5.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Daily;Birthday;Yes;Halloween;Cupcake;5.90 €
Adult;65.0;Masculine;Red Velvet;Dulce de leche;Cream cheese frosting;Yes;Nuts;Slice;Daily;Work event;Yes;Halloween;Slice;2.70 €
;31.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Work event;No;None;Whole cake;23.20 €
Adult;49.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Chocolate chips;Slice;Monthly;Wedding;Yes;Valentine's Day;Slice;2.50 €
Kid;11.0;Feminine;Chocolate;Strawberry jam;Whipped cream;Yes;Edible flowers;Cupcake;Weekly;Birthday;No;None;Cupcake;4.70 €
Adult;64.0;Feminine;Lemon;Dulce de leche;Chocolate glaze;No;None;Slice;Daily;Work event;No;None;Slice;5.20 €
Kid;17.0;Feminine;Chocolate;Chocolate ganache;Buttercream;No;None;Cupcake;Weekly;Birthday;No;None;Cupcake;3.80 €
;29.0;Masculine;Lemon;Lemon curd;Cream cheese frosting;No;None;Wedding cake;Weekly;Celebration;Yes;Easter;Wedding cake;43.80 €
Adult;64.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Slice;Sporadic;Wedding;Yes;Valentine's Day;Slice;5.80 €
Adult;50.0;Masculine;Lemon;Lemon curd;Cream cheese frosting;No;None;Slice;Weekly;Gathering;Yes;Christmas;Slice;4.30 €
Kid;16.0;Masculine;Red Velvet;Chocolate ganache;Whipped cream;No;None;Cupcake;Monthly;Celebration;Yes;Christmas;Cupcake;3.60 €
Adult;42.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Slice;Sporadic;Celebration;Yes;Easter;Slice;3.00 €
